"Reference","Value","Qty","DNP","PN"
"C1,C2,C3","3.3u","3","","EEE-FK1K3R3R"
"C4","100n","1","","CL10B104MB8NNNC"
"C5,C7","1n","2","","CL10B102KB8NNWC"
"C6",".68u","1","","CL10B684KO8NFNC"
"C8,C11","4.7u","2","","CL10A475KL8NRNC"
"C9,C10","100u","2","","CL32A107MPVNNNE"
"D1","D_Schottky","1","","STPS8H100G-TR"
"H1,H2,H3,H4","MountingHole","4","",""
"IC1","LM3488","1","","LM3488QMMX/NOPB"
"J1,J2","Conn_01x02","2","",""
"L1","4.7u","1","","DRQ127-4R7-R"
"Q1","DMTH6002LPS-13","1","","DMTH6002LPS-13"
"R1","20R","1","","RC0603JR-0720RL"
"R2","270 1%","1","","RC0603FR-07270RL"
"R3","75k","1","","RC0603JR-0775KL"
"R4","0","1","",""
"R5","100R","1","","RC0603JR-07100RL"
"R6","6mOhm","1","","PRL1632-R006-F-T1"
"R7","30.9k 1%","1","","RC1206FR-0730K9L"
"R8","10k 1%","1","","RC0603FR-1010KL"
